Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,Kingston,DT 100 G2 4GB,592,4.94,318,https://usb.userbenchmark.com/SpeedTest/7178/Kingston-DT-100-G2
USB,,Kingston,DT 101 G2 4GB,593,4.92,1340,https://usb.userbenchmark.com/SpeedTest/3101/Kingston-DT-101-G2
USB,,HTC42602,0G7AT00 20GB,594,4.9,4,https://usb.userbenchmark.com/SpeedTest/10847/HTC42602-0G7AT00
USB,,Lexar,JD FireFly 8GB,595,4.9,205,https://usb.userbenchmark.com/SpeedTest/9434/Lexar-JD-FireFly
USB,,TOSHIBA,TransMemory 4GB,596,4.9,1018,https://usb.userbenchmark.com/SpeedTest/3442/TOSHIBA-TransMemory
USB,,LEXAR,JD FIREFLY 2GB,597,4.89,104,https://usb.userbenchmark.com/SpeedTest/10782/LEXAR-JD-FIREFLY
USB,,UFD,USB Flash Drive 1GB,598,4.87,26,https://usb.userbenchmark.com/SpeedTest/1755/UFD-USB-Flash-Drive
USB,,JetFlash,Transcend 1GB,599,4.86,80,https://usb.userbenchmark.com/SpeedTest/8690/JetFlash-Transcend-1GB
USB,,Kingston,DT 100 G2 8GB,600,4.84,1727,https://usb.userbenchmark.com/SpeedTest/1420/Kingston-DT-100-G2
USB,,Kingmax,USB2.0 FlashDisk 4GB,601,4.84,35,https://usb.userbenchmark.com/SpeedTest/12171/Kingmax-USB20-FlashDisk
USB,,Kingston,DataTraveler G2 4GB,602,4.8,533,https://usb.userbenchmark.com/SpeedTest/1799/Kingston-DataTraveler-G2
USB,,Verbatim,STORE N GO 16GB,603,4.78,5381,https://usb.userbenchmark.com/SpeedTest/2709/Verbatim-STORE-N-GO
USB,,Kingston,DT 101 G2 8GB,604,4.73,2167,https://usb.userbenchmark.com/SpeedTest/1472/Kingston-DT-101-G2
USB,,TDK,LoR TF10 8GB,605,4.67,1028,https://usb.userbenchmark.com/SpeedTest/10324/TDK-LoR-TF10
USB,,Kingston,DataTraveler 109 8GB,606,4.66,86,https://usb.userbenchmark.com/SpeedTest/1228/Kingston-DataTraveler-109
USB,,ADATA,USB Flash Drive 4GB,607,4.64,19,https://usb.userbenchmark.com/SpeedTest/13330/ADATA-USB-Flash-Drive
USB,,JetFlash,TS4GJFV30 4GB,608,4.58,193,https://usb.userbenchmark.com/SpeedTest/3281/JetFlash-TS4GJFV30
USB,,PNY,USB 2.0 FD 4GB,609,4.57,107,https://usb.userbenchmark.com/SpeedTest/6266/PNY-USB-20-FD
USB,,Ut163,USB2FlashStorage 2GB,610,4.55,73,https://usb.userbenchmark.com/SpeedTest/6699/Ut163-USB2FlashStorage
USB,,UFD,2.0 Silicon-Power4G 4GB,611,4.55,146,https://usb.userbenchmark.com/SpeedTest/6047/UFD-20-Silicon-Power4G
USB,,,,612,4.55,81,https://usb.userbenchmark.com/SpeedTest/7002/
USB,,Lexar,JD FireFly 4GB,613,4.52,143,https://usb.userbenchmark.com/SpeedTest/10873/Lexar-JD-FireFly
USB,,Kingston,DT Micro 8GB,614,4.52,351,https://usb.userbenchmark.com/SpeedTest/3115/Kingston-DT-Micro
USB,,JetFlash,TS2GJFV30 2GB,615,4.51,214,https://usb.userbenchmark.com/SpeedTest/10269/JetFlash-TS2GJFV30
USB,,Kingston,DataTraveler SE9 8GB,616,4.42,1080,https://usb.userbenchmark.com/SpeedTest/2584/Kingston-DataTraveler-SE9
USB,,Intenso,Rainbow Line 16GB,617,4.41,681,https://usb.userbenchmark.com/SpeedTest/7359/Intenso-Rainbow-Line
USB,,USB,FLASH DRIVE 1GB,618,4.41,187,https://usb.userbenchmark.com/SpeedTest/3314/USB-FLASH-DRIVE
USB,,Chipsbnk,UDisk 16GB,619,4.37,22,https://usb.userbenchmark.com/SpeedTest/1257/Chipsbnk-UDisk
USB,,USB,Flash Memory 1GB,620,4.3,105,https://usb.userbenchmark.com/SpeedTest/6923/USB-Flash-Memory
USB,,Verbatim,STORE N GO 2GB,621,4.28,198,https://usb.userbenchmark.com/SpeedTest/8638/Verbatim-STORE-N-GO
USB,,Ut165,USB2FlashStorage 1GB,622,4.23,73,https://usb.userbenchmark.com/SpeedTest/5612/Ut165-USB2FlashStorage
USB,,SanDisk,Cruzer Mini 1GB,623,4.15,194,https://usb.userbenchmark.com/SpeedTest/4977/SanDisk-Cruzer-Mini
USB,,USB,Flash Memory 2GB,624,4.09,515,https://usb.userbenchmark.com/SpeedTest/3137/USB-Flash-Memory
USB,,Kingston,DataTraveler 112 16GB,625,4.07,204,https://usb.userbenchmark.com/SpeedTest/8377/Kingston-DataTraveler-112
USB,,Verbatim,STORE N GO 4GB,626,4,2424,https://usb.userbenchmark.com/SpeedTest/1268/Verbatim-STORE-N-GO
USB,,Kingston,DataTravelerMini 1GB,627,4,79,https://usb.userbenchmark.com/SpeedTest/4656/Kingston-DataTravelerMini
USB,,Freecom,DATABAR 4GB,628,3.99,38,https://usb.userbenchmark.com/SpeedTest/9462/Freecom-DATABAR
USB,,HUAWEI,SD Storage 8GB,629,3.81,109,https://usb.userbenchmark.com/SpeedTest/4906/HUAWEI-SD-Storage
USB,,,,630,3.71,773,https://usb.userbenchmark.com/SpeedTest/7076/
USB,,USB2.0,FlashDisk 4GB,631,3.68,32,https://usb.userbenchmark.com/SpeedTest/12908/USB20-FlashDisk
USB,,Ut163,USB2FlashStorage 1GB,632,3.54,230,https://usb.userbenchmark.com/SpeedTest/12768/Ut163-USB2FlashStorage
USB,,,AM10 0GB,633,3.41,6,https://usb.userbenchmark.com/SpeedTest/12731/AM10
USB,,Cisco,AM10 0GB,634,3.23,9,https://usb.userbenchmark.com/SpeedTest/10577/Cisco-AM10
USB,,Best,Buy Geek Squad U3 1GB,635,3.14,10,https://usb.userbenchmark.com/SpeedTest/5282/Best-Buy-Geek-Squad-U3
USB,,ACTIONS,HS USB FlashDisk 4GB,636,2.9,138,https://usb.userbenchmark.com/SpeedTest/9386/ACTIONS-HS-USB-FlashDisk
USB,,USB_DISK,USB_DISK 1GB,637,2.89,6,https://usb.userbenchmark.com/SpeedTest/11488/USB-DISK-USB-DISK
USB,,KINGSTON,USB DRIVE 0GB,638,0.9,8,https://usb.userbenchmark.com/SpeedTest/4478/KINGSTON-USB-DRIVE
USB,,SB,X-Fi Go! 1GB,639,0.37,46,https://usb.userbenchmark.com/SpeedTest/2348/SB-X-Fi-Go-
