Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V7S500B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,30,288,289635,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,5MS23AA#ABC,HP,EX950 NVMe PCIe M.2 1TB,31,285,3085,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB
SSD,MZ-V7E2T0BW,Samsung,970 Evo NVMe PCIe M.2 2TB,32,280,7986,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,33,280,11394,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,34,279,60301,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,MZ-V6P2T0BW,Samsung,960 Pro NVMe PCIe M.2 2TB,35,277,3063,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
SSD,SDSSDXPM2-1T00-G25,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),36,276,1907,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,ASX8200PNP-2TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 2TB,37,276,290,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,38,275,56450,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,MZ-V6P1T0BW,Samsung,960 Pro NVMe PCIe M.2 1TB,39,273,14843,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,SSDPEK1W120GA01,Intel,800p NVMe PCIe M.2 118GB,40,273,107,https://ssd.userbenchmark.com/SpeedTest/489136/NVMe-INTEL-SSDPEK1W12
SSD,WDS200T3X0C,WD,Black SN750 NVMe PCIe M.2 2TB (2019),41,271,2131,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0
SSD,CT500P5SSD8,Crucial,P5 3D NVMe PCIe M.2 500GB,42,270,4435,https://ssd.userbenchmark.com/SpeedTest/1213080/CT500P5SSD8
SSD,MZ-V7E500BW,Samsung,970 Evo NVMe PCIe M.2 500GB,43,270,322036,https://ssd.userbenchmark.com/SpeedTest/493995/Samsung-SSD-970-EVO-500GB
SSD,SSDPEK1W060GA01,Intel,800p NVMe PCIe M.2 58GB,44,266,45,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,5MS22AA#ABC,HP,EX950 NVMe PCIe M.2 512GB,45,263,2037,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 NVMe PCIe M.2 960GB,46,262,2954,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,47,261,2021,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,CT2000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 2TB,48,251,489,https://ssd.userbenchmark.com/SpeedTest/1332635/CT2000P2SSD8
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,49,251,932,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,WDS100T2X0C,WD,Black NVMe PCIe M.2 1TB (2018),50,248,5761,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,WDS500G3X0C,WD,Black SN750 NVMe PCIe M.2 500GB (2019),51,247,71307,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,MZ-V8V500B,Samsung,980 NVMe PCIe M.2 500GB,52,246,665,https://ssd.userbenchmark.com/SpeedTest/1488477/Samsung-SSD-980-500GB
SSD,SB-ROCKET-4TB,Sabrent,Rocket NVMe PCIe M.2 4TB,53,245,256,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,54,244,57628,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,55,243,34513,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,MZ-V7S250BW,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,56,242,68970,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,56,242,68970,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),57,240,3485,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,2YY46AA#ABC,HP,EX920 NVMe PCIe M.2 512GB,58,240,6296,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,SB-ROCKET-2TB,Sabrent,Rocket NVMe PCIe M.2 2TB,59,239,6669,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,60,239,23339,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,WDS100T2B0C,WD,Blue SN550 NVMe PCIe M.2 1TB,61,237,79002,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,MKNSSDPL500GB-D8,Mushkin,Pilot NVMe PCIe M.2 500GB,62,237,2473,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,63,236,2308,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
